ind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
11,0.014788287724928089,8.541090270172988e-05,0.0,0.012811635405259482,0.008879683491597705,0.0030076839308537735,0.001265911593614925,0.008275706393921185,0.010044932235599876,0.023283622154368005,0.326684501276588,0.004535929011338298,0.026687856704908385,0.010542145704899232,0.001122543292651307,0.008171993154926227,0.0,0.00011591479652377626,0.0017570242841498719,0.0,6.1007787644092776e-06,0.00031724049574928244,0.007906609278674422,0.04179033453620355,0.0017692258416786904,0.015047570822415483,0.0067688140391120935,0.0004758607436239236,0.09381472544970366,0.05220436388705019,0.02500099137654922,0.00043925607103746797,0.0007442950092579318,0.02916477288325855,0.000625329823351951,0.002397606054412846,0.0006436321596451788,0.002260338532213637,0.008687508960518812,0.0007931012393732061,0.008327563013418663,0.0013208186024946085,0.0009852757704520983,0.00666815118949934,0.0077784929246218285,0.00010371323899495771,0.0,0.007961516287554107,0.0004484072391840819,0.005173460392219067,0.005045344038166473,0.0004484072391840819,0.015346508981871537,0.00019217453107889224,0.0007351438411113179,0.0011682991333843765,0.0,0.00019522492046109688,0.00026538387625180354,0.003913649577368552,0.0003111397169848731,0.0006802368322316345,0.0,0.0
12,0.020836233054032233,0.000862956879993319,1.3918659354730953e-05,0.0016841577819224451,0.03966817916098321,0.00629123402833839,0.002449684046432648,0.02044651059209977,0.05638448904601509,0.0,0.1701695292709406,0.10084068702502574,0.038638198368733126,0.010466831834757676,0.0015728085070845976,0.005873674247696462,0.00832335829412911,0.0,0.02535979734431979,0.0,0.0,0.005080310664476798,0.006040698159953233,0.016716309885031873,0.0022269854967569523,0.005567463741892381,0.008643487459287922,0.0037023633883584333,0.10732678228433037,0.06200762742532639,0.012568549397322049,0.0003479664838682738,0.0009743061548311666,0.015421874565041894,0.003716282047713164,0.0012109233638615926,0.0016145644851487903,0.0058875929070511925,0.01873451549146786,0.0017537510786960998,0.012791247946997744,0.001155248726442669,0.001725913759986638,0.007516076051554714,0.022395122901762102,0.00029229184644935,0.0,0.02065529048242073,0.0020877989032096426,0.004829774796091641,0.01563065445536286,0.001141330067087938,0.0253180413662556,0.0027419758928819973,0.00790579851348718,0.002616707958689419,0.0,0.0016284831445035211,0.0011134927483784762,0.005692731676084959,0.0003479664838682738,0.0005149903961250452,0.0,0.0
13,0.011021324106521043,0.002017443981384243,0.0,0.00015476282596920218,0.00011054487569228728,0.009412896165198262,0.0037640530173223817,0.011308740783320989,0.0027470401609533393,0.007489415328152463,0.1167851339251169,3.316346270768618e-05,0.1967422425133483,0.004819756580183725,0.0008125048363383115,0.014796431611412652,1.105448756922873e-05,5.527243784614365e-06,0.004604194072583765,0.006262367207968075,0.00020450802003073147,0.0005969423287383514,0.006096549894429643,0.019953350062457853,0.0005582516222460508,0.014133162357258928,0.008655663766706094,0.002509368678214921,0.05941787068460441,0.04990548413128309,0.022866207536949623,0.0003316346270768618,0.0005748333535998939,0.014138689601043544,0.0011109760007074873,0.0013375929958766761,0.0,2.763621892307182e-05,0.003598235703783951,0.0006024695725229657,0.007500469815721692,0.001625009672676623,0.0008346138114767689,0.009280242314367517,0.008064248681752357,5.527243784614364e-05,0.0,0.003244492101568632,0.0026641315041841234,0.004808702092614497,0.006334221377168061,0.00010501763190767292,0.013105095013320656,0.0005527243784614364,0.0019566442997534846,0.0004919246968306784,0.0,0.0,0.0005803605973845082,0.00048087020926144964,0.00028741667679994695,0.00060799681630758,0.0,0.0
14,0.0,0.0,0.0,0.07667384036276137,7.941360990446544e-06,0.0008576669869682267,0.008608435313644053,0.01222175456429723,0.0013341486463950194,0.0,0.0728063975604139,0.0,0.02337142539488418,0.12678382821247905,0.007036045837535637,0.003001834454388793,2.382408297133963e-05,0.0025174114339715542,0.005360418668551417,0.0026841800147709314,0.0,0.00023029946872294975,0.012968242497399207,0.1583030899835614,0.0007226638501306354,0.018813084186367863,0.015739777483065046,0.0022712292432677116,0.06151378223199892,0.029303622054747746,0.04999880879585144,0.0004447162154650064,0.0005479539083408115,0.019551630758479387,0.0007941360990446543,0.00020647538575161014,0.00015882721980893085,0.00023029946872294975,0.006361030153347681,0.0009370805968726922,0.009529633188535851,0.0023744669361435164,0.001389738173328145,0.006154554767596071,0.019186328152918847,7.14722489140189e-05,0.0,0.008457549454825568,1.5882721980893088e-05,0.008481373537796908,0.0031130135082550452,3.1765443961786176e-05,0.010768485503045513,0.00048442302041723913,0.0004129507715032203,0.00018265130278027048,0.0,0.0,0.0,0.002993893093398347,0.0005717779913121512,0.0006194261572548303,0.0,0.0
15,0.0,0.0,0.0,0.08455778297118736,0.0,0.00011725604677303272,0.0059113220821439254,0.002858621554087384,0.0012210802112226167,0.0056848966125132416,0.030397619297919308,0.0,0.007472040497812568,0.013904949822498604,0.20537598757894565,0.07894970928587024,0.0,0.0031295234552526667,0.004835801101398177,0.0006954496567228147,0.00015364585439224976,0.0009420916861419525,0.015716353579544075,0.06379537606844518,0.0007520560241304858,0.09741551499664405,0.002656455956202845,0.0020297426027607733,0.0605849863740387,0.03162274282109962,0.02375041443947566,0.0004205044435998415,0.0003638980761921705,0.019537283379561867,0.0,0.00046093756317674934,4.043311957690784e-06,4.043311957690784e-06,0.0023410776235029637,0.00010108279894226959,0.007164748789028068,0.0009946547415919328,0.0002951617729114272,0.0008086623915381567,0.0024906801659375227,1.212993587307235e-05,0.0,0.000748012712172795,0.0002789885250806641,0.002393640678952944,0.0015526317917532609,0.0,0.004940927212298138,0.0006914063447651241,0.0024623769822336872,6.469299132305255e-05,0.0,8.086623915381568e-06,0.0006064967936536175,0.0011523439079418733,0.0,0.0006064967936536175,0.0,0.0
16,0.0,0.0,0.0,0.004318969200377327,8.460272674588302e-06,0.00043570404274129756,0.0027791995736022573,0.006121007280064636,0.0029780159814550822,0.0006302903142568285,0.0248055194818929,0.0,0.004674300652710036,0.0023984873032457834,0.29204861272678817,0.15929001391714853,0.0016243723535209538,0.002220821577079429,0.004568547244277683,0.005317281375978747,9.729313575776545e-05,0.0020685366689368397,0.01571495649304777,0.025588094704292318,0.0005879889508838869,0.016260644080558714,0.004932338969284979,0.0008502574037961243,0.07096053705810938,0.04518208621863882,0.019213279243990033,0.0003341807706462379,0.0005710684055347104,0.012559274785426332,0.0012817313102001277,0.001349413491596834,0.00012690409011882452,0.0001184438174442362,0.003007626935816141,0.0007825752223994179,0.009830836847871607,0.0021785202137064876,0.0014128655366562463,0.012597346012461982,0.00914132462489266,0.005960262099247458,0.0,0.0035786953413508515,0.002525391393364608,0.00610408673471546,0.005291900557954982,0.00013959449913070697,0.012690409011882451,0.0007191231773400056,0.0004568547244277683,7.191231773400057e-05,0.0,0.0,0.0004018629520429443,0.0021785202137064876,0.00026226845291223735,0.0006345204505941226,0.0,0.0
17,2.263621341422007e-05,0.0,0.0,3.3954320121330106e-05,2.263621341422007e-05,0.0,0.0,0.0005093148018199515,0.0,0.0,0.0054666455395341465,0.0,0.004866785884057315,0.0002263621341422007,0.0021391221676437967,0.018233469905154266,0.08396903366004935,0.03423727278900786,0.005127102338320846,0.00031690698779908097,0.0011997193109536638,0.00039613373474885124,0.0,0.0024447110487357676,0.00028295266767775087,0.0016750797926522853,0.0041650632682164925,0.00036217941462752114,0.026937093962921883,0.026835231002557892,0.005489281752948367,0.00011318106707110035,0.00021504402743509067,0.004176381374923602,0.0,0.0007922674694977025,6.790864024266021e-05,0.00012449917377821038,0.0,3.3954320121330106e-05,0.0038255200670031914,0.0006451320823052721,0.0005998596554768319,0.0031351155578694797,0.009835434728478622,0.004108472734680942,0.0,0.0028295266767775088,0.0013808090182674242,0.002840844783484619,0.0020825316341082463,0.00031690698779908097,0.012133010390021959,0.00023768024084931075,0.002863480996898839,0.0007469950426692623,0.0,0.00030558888109197095,0.0015392625121669647,0.0004527242682844014,0.0014826719786314145,0.0005659053353555017,0.0,0.0
18,0.0,0.0,0.0,0.033859255598220735,0.00012926282173136145,0.0007147473672204692,0.0033760407558073224,0.006797703683990419,0.0021670531878492947,0.004911987225791735,0.021412006235030225,3.801847697981219e-05,0.041478158384975095,0.014082043873322434,0.11918792533171121,0.082591339390944,0.020788503212561302,0.14072159069307683,0.007155077367600653,0.032794738242785997,0.0020073755845340835,0.0005398623731133331,0.010637569858951451,0.021526061665969664,7.603695395962438e-06,0.005345397863361593,0.000851613884347793,0.006432726304984222,0.07436414097251264,0.060282097099190204,0.01653043379082234,0.0003193552066304224,0.0005398623731133331,0.015055316884005627,0.00017488499410713606,0.00022811086187887313,0.00021290347108694825,0.0003497699882142721,0.0038550735657529563,0.0011253469186024408,0.009124434475154925,0.0013306466942934266,0.001368665171273239,0.009976048359502717,0.02046914800593088,6.843325856366194e-05,0.0,0.007786184085465536,0.005261757214006007,0.0048207428810401855,0.002676500779378778,7.603695395962438e-06,0.017427669847545905,0.0006311067178648824,0.0006311067178648824,0.0009428582290993423,0.0,0.0,7.603695395962438e-06,0.0006235030224689198,0.0003193552066304224,0.0005170512869254458,0.0,0.0
19,0.0007176231074640602,2.3400753504262836e-05,0.0,0.0017160552569792746,0.0008268266238172869,0.0006474208469512718,0.008595876787232549,0.005062363008088861,0.007464840367859845,0.0020826670618793925,0.010413335309396962,8.580276284896374e-05,0.01933682264568919,0.0016614534988026615,0.15175388647514448,0.10244849884166271,0.013385231004438341,0.08502273773215498,0.20624644113540455,0.01117775992386955,0.0023790766062667217,0.008346268749853746,3.120100467235045e-05,0.010389934555892698,0.006552210981193594,0.007301035093330004,0.009352501150537047,0.006193399427461565,0.10863409801795618,0.04998400948510542,0.027269678083634293,0.00045241456774908147,0.0005148165770937823,0.018923409333780547,0.0018408592756686765,0.0018096582709963259,0.0003666118049001178,0.00034321105139585497,0.010764346611960905,0.001450846717264296,0.013642639292985235,0.0023790766062667217,0.002371276355098634,0.009953120490479793,0.021809502265972964,0.0011700376752131418,0.0,0.009344700899368959,0.004882957231222845,0.00960210918791585,0.005382173305980452,0.00014040452102557702,0.01875180380808262,0.0004992160747576072,0.00225427258757732,0.0009282298890024259,0.0,0.0005694183352703957,0.0015834509871217853,0.0012168391822216674,0.001489847973104734,0.000967231144842864,0.0,0.0
20,0.0,0.0,0.0,0.003233179570294643,0.0,0.01925778165648506,0.0003906412334289158,0.0017329510036155093,0.001471138262062087,0.00113452188006483,0.06170469185055895,0.0,0.12179694967377303,0.024780783775921536,0.17158708390475003,0.24107551011927025,0.065104101732951,0.06300544404272118,0.052316834974857666,0.7574533516186676,0.0005942733657482442,0.04883015417861447,0.012097410962889084,0.02675892448988073,0.0004903794206873623,0.003170843203258114,6.233636703652911e-05,0.0020529443544030253,0.14611644433362422,0.11846403191621992,0.025055063790882265,0.0008353073182894901,0.0003532394132069983,0.02056684536425217,0.000743880646635914,0.0012342600673232763,0.000743880646635914,0.003436811702613972,0.0036487553505381706,0.0005818060923409384,0.0178489797614595,0.0010181606615966422,0.0008269958026846195,0.002975522586543656,0.01263765947720567,8.311515604870549e-05,0.0,0.011025225449860782,0.004209782653866932,0.012957652827993184,0.012014295806840379,0.00021194364792419897,0.032236213273490424,0.0008477745916967959,0.005203008768648963,0.0025973486265220462,0.0,0.0007521921622407847,0.0018285334330715205,0.0035199268586626775,0.0005901176079458088,0.0018077546440593442,0.0,0.0
