;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;total ventas
23;248.6;7.5;121.6;87.9;524.2;41.6;101.3;180.4;22.0;72.6;259.2;43.4;110.3;163.3;388.7;371.5;0.0;139.9;0.4;291.1;0.4;41.4;647.1;454.9;173.3;117.0;37.8;140.1;317.5;158.1;621.1;75.1;677.0;311.2;38.9;261.2;52.7;22.7;444.4;85.1;206.1;22.9;89.6;18.8;144.5;29.1;40.8;18.9;31.2;218.0;1.3;34.7;134.7;258.1;275.1;281.7;81.6;65.5;289.0;0.0;8.5;30.7;0.0;0.0;10,133.3
24;871.7;2.9;18.8;182.6;1,883.2;234.8;158.4;822.1;68.8;1,216.8;1,370.0;120.1;361.0;1,993.4;1,577.8;604.9;21.6;283.1;133.2;643.9;92.8;204.9;309.6;12,049.4;219.2;419.9;591.3;357.6;1,670.6;2,130.2;1,879.4;136.4;795.9;1,271.4;94.8;2,602.8;47.7;78.7;917.6;239.1;7.1;0.3;13.9;691.3;391.9;115.2;144.9;102.7;120.3;106.2;8.6;23.4;379.7;1,063.0;446.0;666.1;559.6;208.0;354.3;68.3;42.3;248.5;0.0;0.0;44,440.0
25;467.1;0.0;5.0;2.2;138.4;16.0;2.1;10.8;5.6;243.3;58.0;16.0;10.1;9.1;18.6;13.9;2.5;0.1;84.0;11.8;4.7;7.4;19.3;253.4;1,086.4;963.2;65.7;31.5;154.0;230.8;4.0;0.0;0.0;48.0;0.1;501.1;3.9;4.4;11.8;11.1;16.9;0.0;8.3;132.0;47.9;13.1;18.3;10.3;5.9;9.9;3.9;7.8;42.4;122.6;68.1;117.5;75.8;26.3;98.3;26.7;4.5;43.6;0.0;0.0;5,415.5
26;8.3;0.0;5.5;34.7;270.7;48.2;16.0;222.9;19.4;74.1;493.3;40.0;255.7;236.9;2,409.3;384.4;14.8;70.3;93.6;76.3;41.5;39.1;120.3;214.8;84.4;4,000.1;430.3;38.3;308.4;129.0;96.1;7.7;36.7;72.2;0.4;109.7;23.3;23.7;78.7;85.9;0.0;0.0;0.5;136.5;169.8;39.9;44.5;28.5;19.4;31.8;3.5;9.3;87.7;18.9;18.0;47.1;211.7;47.0;39.7;19.7;4.0;14.3;0.0;0.0;11,706.8
27;366.6;1.2;2.2;58.2;564.1;102.8;1.4;49.6;54.2;29.8;221.9;62.1;156.6;198.2;65.7;116.6;36.8;11.2;119.9;1.5;81.7;52.9;361.7;619.8;81.4;118.2;19,869.3;179.3;986.4;936.8;722.2;16.6;48.7;772.4;43.6;783.8;13.4;51.4;379.0;349.2;136.3;64.0;49.5;1,443.7;156.1;220.1;70.6;70.4;64.9;283.4;8.3;27.3;341.8;476.1;482.3;137.4;226.7;103.1;101.3;28.7;6.2;89.3;0.0;0.0;35,579.8
28;741.2;33.2;3.9;29.4;85.1;11.6;9.3;14.8;4.8;11.6;15.6;26.6;45.4;28.6;50.2;20.1;3.2;84.6;79.4;49.4;15.2;6.1;83.6;57.6;77.1;219.4;84.6;323.6;417.0;79.6;945.5;0.9;7.5;35.1;18.0;149.7;0.6;2.9;17.8;31.0;26.8;8.2;95.2;13.9;83.2;42.7;27.6;9.1;22.8;75.3;0.9;0.2;57.3;101.8;50.6;68.3;4.3;44.0;43.4;0.8;1.9;6.6;0.0;0.0;4,705.7
29;1,964.0;73.5;78.8;100.2;7,230.7;984.2;406.9;665.9;169.0;157.9;3,075.5;771.1;1,075.0;774.6;1,498.4;1,677.5;238.0;978.0;1,392.7;3,516.0;804.7;692.2;678.1;1,262.7;223.2;296.9;3,608.0;368.1;5,745.3;1,082.3;457.2;9.3;164.3;364.0;5.2;3,208.2;243.8;354.3;273.4;200.7;104.4;15.0;53.0;44.3;40.6;704.0;205.1;176.5;76.2;122.0;3.3;5.7;266.8;290.8;285.5;1,864.0;187.7;104.8;91.2;66.9;52.9;86.7;0.0;0.0;51,717.2
30;1,679.5;2.0;62.4;51.4;6,940.5;794.5;69.2;301.3;83.7;68.6;1,711.4;445.5;902.9;369.0;782.1;1,068.1;237.1;792.8;640.8;2,850.6;189.5;399.3;361.2;749.6;123.8;154.1;2,691.0;319.8;698.0;208.9;366.2;6.3;107.7;171.3;5.9;2,975.0;92.4;308.0;247.7;155.4;94.8;15.8;43.1;32.1;41.0;370.9;154.1;144.9;62.6;97.7;3.7;1.8;246.3;226.7;262.0;1,507.7;155.4;95.6;77.6;59.5;48.1;74.3;0.0;0.0;34,000.2
31;131.5;10.5;15.3;231.5;2,416.9;223.2;181.8;416.3;49.9;398.1;819.6;90.3;413.7;629.6;587.4;454.2;48.5;217.4;349.6;602.9;88.7;246.3;101.3;85.2;28.3;281.1;567.9;294.6;4,121.1;915.1;4,244.3;22.2;25.1;6,707.5;51.4;341.3;297.8;69.1;89.7;143.2;44.6;15.5;28.7;36.5;56.1;160.1;69.4;86.5;50.9;267.0;5.4;553.6;151.9;1,506.9;105.6;104.9;39.1;34.3;67.5;158.8;23.8;52.8;0.0;0.0;30,629.3
32;0.4;0.2;74.4;4.7;30.2;5.2;2.3;5.7;0.8;12.1;14.4;2.5;6.0;5.6;10.4;7.9;1.0;4.2;5.8;20.1;2.9;2.7;3.2;6.4;1.2;14.7;13.3;5.3;56.2;11.9;7.9;4.1;0.6;24.2;1.3;7.2;4.4;3.8;1.6;2.5;0.9;0.7;1.1;1.3;2.0;2.2;3.2;1.3;3.0;2.7;0.9;129.0;2.7;22.3;7.0;5.8;2.6;4.6;4.6;0.9;0.9;0.9;0.0;0.0;589.9
33;0.1;0.1;7.3;5.2;21.7;4.9;2.4;6.0;1.2;13.4;24.4;7.0;10.4;6.9;9.0;13.5;1.9;7.1;6.6;8.5;3.6;3.9;7.9;2.1;1.5;12.4;36.8;5.7;153.4;47.8;7.9;0.8;2.0;41.6;5.1;12.5;13.3;3.5;2.8;22.2;181.2;88.9;54.5;5.5;23.4;24.2;29.9;14.3;14.8;12.3;2.8;1,094.8;39.2;69.6;17.9;26.3;2.1;4.6;4.2;173.1;1.9;2.4;0.0;0.0;2,432.3
34;32.2;0.1;36.9;101.2;1,266.2;136.0;94.0;234.4;57.1;682.5;956.1;110.8;255.8;246.2;483.2;296.9;36.9;198.0;242.6;494.9;57.1;120.3;1,139.8;3,091.0;48.1;158.7;201.5;925.9;6,444.2;1,566.4;6,379.5;305.6;1,192.7;10,000.9;120.8;238.4;113.0;53.2;102.8;178.3;2.8;4.2;14.6;747.2;70.4;136.5;91.2;101.3;64.8;225.3;9.8;18.4;116.1;435.7;13.1;0.0;10.1;48.9;64.8;0.0;35.3;38.7;0.0;0.0;40,649.4
35;0.0;0.0;0.4;1.2;25.9;6.6;1.2;6.2;1.9;14.6;20.5;26.7;20.1;10.0;0.0;30.3;0.0;2.3;23.6;17.9;0.0;4.6;7.6;84.3;15.5;27.2;324.4;3.5;311.2;176.0;10.4;0.0;0.0;91.3;1,809.8;142.0;16.5;1.0;311.7;332.7;63.9;38.1;35.6;170.4;155.3;132.3;38.5;82.0;62.3;46.4;16.2;3.2;127.8;157.2;83.6;67.3;38.0;1.6;2.4;0.0;3.4;7.9;0.0;0.0;5,212.5
36;1.0;0.0;5.3;2.8;16.1;4.7;2.4;2.3;2.0;9.7;78.6;8.7;24.2;2.6;11.4;31.9;7.0;3.0;23.2;29.7;19.9;4.1;13.1;12.2;5.3;70.5;466.5;28.4;225.0;82.7;320.2;1.3;12.7;63.3;8.6;733.6;42.1;43.8;13.4;832.4;348.3;90.5;142.6;76.1;227.5;327.9;112.4;62.5;36.6;17.3;8.0;6,151.1;102.7;354.8;178.8;487.9;91.4;20.3;24.3;845.0;11.6;14.3;0.0;0.0;12,997.6
37;0.0;0.0;0.0;0.6;94.5;3.3;0.5;0.5;110.9;0.4;21.1;11.6;0.0;2.0;0.1;3.0;0.6;2.8;4.7;17.9;0.2;3.7;1.4;1.6;1.3;3.6;25.9;48.3;242.2;83.8;5.0;0.4;3.8;36.1;0.2;39.0;863.2;86.0;28.1;125.4;311.2;43.6;134.7;26.8;18.1;251.1;13.9;82.9;3.3;2.7;0.7;24.5;67.2;248.5;681.0;151.2;20.6;6.6;25.0;142.1;0.7;4.9;0.0;0.0;4,135.0
38;0.0;0.0;0.0;0.0;337.9;7.0;0.4;0.0;211.9;0.0;74.1;42.3;0.5;2.9;0.1;2.8;1.1;4.6;4.4;82.7;0.5;5.8;6.1;23.6;1.0;4.1;11.5;160.6;754.9;254.4;3.8;0.4;5.4;16.7;0.0;99.9;19.8;1,209.2;89.8;98.9;0.0;0.0;0.8;53.7;77.5;1.2;18.4;252.5;4.2;6.0;0.0;79.6;56.0;6.1;97.8;0.1;0.0;11.1;10.2;0.0;1.7;3.9;0.0;0.0;4,219.9
39;0.0;0.0;9.6;52.8;287.3;55.7;12.6;23.2;9.4;79.9;284.8;134.6;65.1;80.1;57.9;71.1;0.0;50.7;138.0;87.8;21.9;43.2;56.1;963.5;57.1;269.9;1,229.6;148.1;461.4;527.0;227.8;8.7;355.7;290.7;75.1;817.5;166.5;294.2;4,350.3;320.7;283.9;85.4;249.5;447.4;359.9;201.4;115.8;228.9;107.7;78.0;24.1;327.7;254.4;1,113.7;109.9;298.4;386.3;39.5;80.7;210.7;45.4;33.5;0.0;0.0;17,267.8
40;0.0;0.0;2.6;3.8;51.8;13.9;2.1;6.0;10.0;4.8;26.0;12.6;10.9;11.8;2.5;18.5;0.3;14.8;18.6;14.0;11.8;9.8;15.1;20.2;8.7;17.7;102.2;27.1;249.0;89.1;180.6;82.5;15.6;63.2;5.5;59.3;24.3;30.1;67.3;4,021.0;447.9;50.5;143.4;111.8;174.2;35.7;85.0;28.6;20.3;4.5;3.6;123.8;63.9;429.4;47.3;108.8;67.8;55.0;39.3;9.5;33.2;10.7;0.0;0.0;7,419.3
41;569.8;13.4;22.6;31.6;868.8;158.3;44.1;98.4;44.8;184.0;273.0;91.9;135.7;120.0;177.2;232.4;33.8;120.0;174.9;429.5;101.2;85.9;153.6;433.8;74.3;115.3;1,186.0;269.6;1,211.8;949.6;411.0;17.9;77.8;357.6;42.8;907.3;95.4;69.0;270.2;438.9;3,775.5;1,532.4;243.3;296.8;505.0;253.4;85.2;145.7;88.1;113.1;42.2;404.8;348.0;1,966.0;377.8;581.5;285.1;143.5;173.3;210.0;29.0;80.6;0.0;0.0;25,668.5
42;455.9;0.3;16.2;10.6;106.4;23.3;14.9;19.6;13.3;9.7;43.3;8.3;29.4;29.9;24.6;51.5;5.7;17.5;30.5;24.5;11.5;19.0;30.3;79.0;19.0;26.5;80.4;82.2;398.3;181.1;282.8;12.5;9.6;109.0;9.0;103.9;6.4;5.9;15.4;21.8;5.1;1,748.8;27.6;465.2;109.2;76.2;14.2;19.1;18.2;102.3;4.4;9.6;100.1;65.9;21.5;44.6;19.7;19.6;41.7;5.8;9.2;23.3;0.0;0.0;6,994.0
43;85.2;0.0;3.4;5.8;105.1;24.8;5.9;10.9;7.9;12.0;32.3;12.4;15.1;17.5;7.3;33.4;5.3;18.0;30.4;19.9;15.0;17.2;21.5;36.7;16.3;19.1;124.6;73.7;419.9;331.0;50.1;4.6;18.4;47.0;5.2;150.9;27.9;17.4;58.5;251.5;403.5;4,862.5;2,157.2;99.5;141.5;66.6;29.9;36.8;29.7;19.4;4.8;43.7;65.4;28.9;93.8;103.4;21.3;30.5;52.9;0.0;6.4;19.4;0.0;0.0;10,476.2
44;0.0;0.0;3.5;40.7;309.4;205.4;32.0;61.3;104.6;9.3;218.6;54.0;167.9;77.5;20.0;297.8;27.7;131.2;127.6;71.6;40.2;117.6;145.3;278.7;59.3;207.6;723.5;834.2;3,571.0;6,851.5;365.8;89.1;61.7;1,009.6;98.5;4,497.0;270.4;588.5;1,120.7;511.3;1,754.7;141.6;634.1;848.2;1,240.3;547.1;210.0;473.9;240.4;135.6;60.8;160.6;908.5;1,112.2;235.3;252.6;353.2;630.1;637.4;0.7;17.6;523.1;0.0;0.0;34,519.6
45;10.0;0.0;7.1;59.8;1,030.6;221.2;33.8;60.0;51.8;645.7;255.0;160.9;145.9;241.6;61.6;216.1;86.9;269.2;279.6;304.1;107.1;126.1;86.1;344.9;115.1;352.3;1,716.1;666.5;3,001.6;1,701.1;289.9;40.1;31.7;276.2;22.0;1,109.8;217.8;489.5;687.5;676.5;887.1;369.9;435.6;1,722.1;8,259.6;40.3;327.1;183.5;33.3;155.2;17.5;86.3;639.1;444.6;359.0;745.6;592.3;530.5;333.0;236.0;45.2;188.3;0.0;0.0;32,829.9
46;13.6;0.0;2.5;54.9;4.6;0.4;0.3;0.3;8.2;107.3;3.4;2.1;1.0;0.9;0.3;140.9;36.3;0.9;15.0;2.0;813.0;0.7;147.5;10.9;11.2;3.8;5,091.6;42.4;16.9;144.5;147.8;2.2;299.6;127.9;14.5;104.7;96.6;20.6;518.6;296.2;8.2;23.5;12.5;632.5;146.9;5,206.7;96.2;307.0;36.3;107.1;85.3;1.6;1,294.7;1,153.3;184.7;45.6;26.1;115.2;77.6;0.2;4.2;19.1;0.0;0.0;17,890.6
47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;394.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;394.0
48;2.0;0.0;3.0;6.5;978.7;161.2;11.3;79.6;127.9;9.3;261.0;148.4;58.7;106.5;18.5;84.6;25.0;102.4;119.8;265.3;23.9;138.9;39.8;76.5;26.3;105.5;278.5;562.9;2,696.3;858.1;98.2;10.9;130.5;9.3;1.6;368.5;401.3;188.1;277.8;224.9;1,004.5;446.8;373.3;89.0;222.7;118.5;92.5;2,513.1;65.3;73.3;4.5;273.0;46.1;273.8;50.5;27.5;13.9;235.3;188.1;103.2;14.4;71.4;0.0;0.0;15,388.2
49;289.7;0.0;2.6;47.0;113.8;52.2;0.5;0.5;40.8;2.1;14.7;15.0;48.2;0.2;6.9;59.7;12.2;69.2;62.6;101.3;781.3;21.2;74.7;236.0;66.2;35.9;215.2;113.6;1,223.5;654.1;177.4;1.5;119.7;236.2;0.0;490.9;242.9;135.9;458.3;741.1;0.2;0.0;2.4;83.7;126.4;44.4;191.8;260.5;1,230.3;26.1;6.5;69.4;244.3;68.7;416.6;8.7;32.7;570.5;385.5;46.2;34.9;83.0;0.0;0.0;10,897.6
50;22.1;0.0;23.3;60.4;480.5;86.5;15.2;34.1;48.4;50.6;169.6;34.7;87.0;106.8;59.2;144.3;25.1;63.4;123.1;311.8;44.4;61.8;202.6;167.2;218.0;258.8;831.9;83.6;615.3;1,195.5;716.6;165.3;924.9;340.9;42.3;675.5;75.8;303.3;391.0;261.8;28.4;0.2;15.2;294.7;132.4;91.1;50.8;125.0;26.7;1,281.7;1.6;133.1;125.6;192.3;476.7;65.7;38.5;95.9;188.3;3.8;92.1;81.8;0.0;0.0;13,064.2
